phage,numprot,host
Synechococcus phage ACG-2014f,1954,Synechococcus
unidentified phage,759,unidentified
uncultured phage,744,uncultured
Bacillus phage G,677,Bacillus
Synechococcus phage ACG-2014d,672,Synechococcus
Enterobacteria phage T4,638,Enterobacteria
Escherichia phage 121Q,611,Escherichia
Enterobacterio phage MS2,604,Enterobacterio
Synechococcus phage ACG-2014a,572,Synechococcus
Escherichia phage PBECO 4,551,Escherichia
Cronobacter phage vB_CsaM_GAP32,545,Cronobacter
Enterobacteria phage vB_KleM-RaK2,534,Enterobacteria
Enterobacteria phage T7,522,Enterobacteria
Pseudomonas phage 201phi2-1,461,Pseudomonas
Caulobacter phage CcrColossus,448,Caulobacter
Aeromonas phage 65,438,Aeromonas
Aeromonas phage CC2,427,Aeromonas
Vibrio phage nt-1,408,Vibrio
Sinorhizobium phage phiN3,402,Sinorhizobium
Synechococcus phage ACG-2014j,394,Synechococcus
Pseudomonas phage Lu11,391,Pseudomonas
Vibrio phage ValKK3,390,Vibrio
Synechococcus phage ACG-2014c,389,Synechococcus
Vibrio phage phi-ST2,383,Vibrio
Synechococcus phage ACG-2014b,383,Synechococcus
Vibrio phage KVP40 (isolate Vibrio parahaemolyticus/Japan/Matsuzaki/1991),380,Vibrio
Vibrio phage phi-Grn1,380,Vibrio
Pseudomonas phage phi6,379,Pseudomonas
Sinorhizobium phage phiM12,377,Sinorhizobium
Enterobacteria phage RB43,377,Enterobacteria
Pseudomonas phage PhiPA3,375,Pseudomonas
Pseudomonas phage phiKZ,369,Pseudomonas
Prochlorococcus phage P-SSM2,369,Prochlorococcus
Yersinia phage phiR1-37,367,Yersinia
Sinorhizobium phage phiM19,361,Sinorhizobium
Sinorhizobium phage phiM7,361,Sinorhizobium
Caulobacter phage phiCbK,356,Caulobacter
Aeromonas phage Aeh1,352,Aeromonas
Listeria phage LMTA-34,351,Listeria
Ralstonia phage RSL1,343,Ralstonia
Aeromonas phage phiAS5,343,Aeromonas
Wolbachia phage WO,342,Wolbachia
Pseudomonas phage PA7,337,Pseudomonas
Caulobacter phage karma,333,Caulobacter
Caulobacter phage rogue,331,Caulobacter
Aeromonas phage PX29,330,Aeromonas
Caulobacter phage magneto,328,Caulobacter
Vibrio phage VH7D,327,Vibrio
Caulobacter phage swift,325,Caulobacter
Enterobacteria phage phiX174,325,Enterobacteria
Prochlorococcus phage P-SSM5,320,Prochlorococcus
Synechococcus phage S-SSM7,319,Synechococcus
Synechococcus phage S-CAM8,319,Synechococcus
Erwinia phage Ea35-70,318,Erwinia
Bacillus phage vB_BpuM-BpSp,318,Bacillus
Bacillus phage SP-15,317,Bacillus
Pseudomonas phage OBP,309,Pseudomonas
Pseudomonas phage PaBG,308,Pseudomonas
Citrobacter phage Merlin,303,Citrobacter
Edwardsiella phage PEi20,301,Edwardsiella
Bacillus phage Nemo,300,Bacillus
Edwardsiella phage PEi26,300,Edwardsiella
Bacillus phage Nigalana,300,Bacillus
Bacillus phage SageFayge,299,Bacillus
Citrobacter phage Moon,298,Citrobacter
Enterobacteria phage AR1,298,Enterobacteria
Bacillus phage Eyuki,297,Bacillus
Bacillus phage AvesoBmore,297,Bacillus
Synechococcus phage S-CRM01,297,Synechococcus
Bacillus phage Vinny,295,Bacillus
Sphingomonas phage PAU,295,Sphingomonas
Bacillus phage Evoli,294,Bacillus
Bacillus phage NotTheCreek,294,Bacillus
Bacillus phage Hakuna,294,Bacillus
Enterobacter phage PG7,294,Enterobacter
Enterobacteria phage vB_EcoM-VR7,293,Enterobacteria
Enterobacteria phage vB_EcoM_VR25,293,Enterobacteria
Bacillus phage Zuko,293,Bacillus
Enterobacteria phage vB_EcoM_VR26,291,Enterobacteria
Bacillus phage Riley,290,Bacillus
Bacillus phage Megatron,290,Bacillus
Bacillus phage DIGNKC,290,Bacillus
Bacillus phage Juglone,289,Bacillus
Bacillus phage Troll,289,Bacillus
Enterobacteria phage RB3,288,Enterobacteria
Bacillus phage CAM003,287,Bacillus
Bacillus phage BigBertha,287,Bacillus
Enterobacteria phage RB49,286,Enterobacteria
Enterobacteria phage RB69,286,Enterobacteria
Caulobacter phage Cr30,286,Caulobacter
Enterobacteria phage vB_EcoM_VR20,286,Enterobacteria
Bacillus phage Phrodo,285,Bacillus
Shigella phage SP18,284,Shigella
Enterobacteria phage vB_EcoM_ACG-C40,282,Enterobacteria
Synechococcus phage S-SKS1,281,Synechococcus
Cronobacter phage CR9,281,Cronobacter
Klebsiella phage Matisse,280,Klebsiella
Bacillus phage Spock,280,Bacillus
Citrobacter phage Margaery,280,Citrobacter
Enterobacteria phage RB14,279,Enterobacteria
Escherichia phage e11/2,279,Escherichia
Enterobacteria phage CC31,279,Enterobacteria
Enterobacteria phage RB27,278,Enterobacteria
Enterobacter phage phiEap-3,278,Enterobacter
Enterobacteria phage RB59,278,Enterobacteria
Klebsiella phage JD18,278,Klebsiella
Enterobacteria phage JSE,277,Enterobacteria
Citrobacter phage Miller,277,Citrobacter
Bacillus phage B4,277,Bacillus
Klebsiella phage Miro,277,Klebsiella
Enterobacteria phage GEC-3S,277,Enterobacteria
Yersinia phage phiD1,277,Yersinia
Enterobacteria phage RB33,277,Enterobacteria
Enterobacteria phage RB68,276,Enterobacteria
Klebsiella phage KP27,276,Klebsiella
Enterobacteria phage Phi1,276,Enterobacteria
Enterobacteria phage RB51,276,Enterobacteria
Enterobacteria phage RB10,276,Enterobacteria
Enterobacteria phage RB6,276,Enterobacteria
Enterobacteria phage RB32,276,Enterobacteria
Cronobacter phage vB_CsaM_GAP161,275,Cronobacter
Enterobacteria phage QL01,275,Enterobacteria
Enterobacteria phage RB9,275,Enterobacteria
Serratia phage PS2,275,Serratia
Enterobacteria phage RB7,274,Enterobacteria
